Propertyid,Property Address,Type,Purpose,Area (in Sq. Yd.),Bedroom,Bathroom,Price
45138796,"DHA Phase 2, DHA Defence, Karachi, Sindh",House,For Sale,1000,3,3,165000000
45138793,"DHA Phase 2, DHA Defence, Karachi, Sindh",House,For Sale,1000,3,3,165000000
45115440,"DHA Phase 5, DHA Defence, Karachi, Sindh",House,For Sale,1000,3,3,185000000
45140740,"Capital Cooperative Housing Society, Scheme 33 - Sector 35-A, Scheme 33, Karachi, Sindh",House,For Sale,120,4,5,25500000
45138819,"University Road, Karachi, Sindh",Flat,For Sale,143,3,3,14900000
45138818,"University Road, Karachi, Sindh",Flat,For Sale,143,3,3,14900000
45138810,"University Road, Karachi, Sindh",Flat,For Sale,143,3,3,14900000
45138324,"Gulistan-e-Jauhar - Block 15, Gulistan-e-Jauhar, Karachi, Sindh",Flat,For Sale,144,3,3,11000000
45065725,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11, Bahria Town Karachi, Karachi, Sindh",House,For Sale,152,3,3,16500000
45065732,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",House,For Sale,152,3,3,19000000
44274178,"Emaar Pearl Towers, Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",Flat,For Sale,182,2,3,57500000
43059392,"Emaar Pearl Towers, Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",Flat,For Sale,389,2,3,150000000
44107797,"Emaar Pearl Towers, Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",Flat,For Sale,181,2,3,60000000
44752861,"Emaar Pearl Towers, Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",Flat,For Sale,182,2,3,64000000
44753093,"Emaar Pearl Towers, Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",Flat,For Sale,180,2,3,66000000
45139705,"Bahria Town - Precinct 27, Bahria Town Karachi, Karachi, Sindh",House,For Sale,235,3,3,17000000
45139717,"Bahria Town - Precinct 31, Bahria Town Karachi, Karachi, Sindh",House,For Sale,235,3,3,16000000
45141057,"Capital Cooperative Housing Society, Scheme 33 - Sector 35-A, Scheme 33, Karachi, Sindh",House,For Sale,240,6,6,47000000
45138667,"Bath Island, Karachi, Sindh",Flat,For Sale,267,4,4,82500000
45138674,"Bath Island, Karachi, Sindh",Flat,For Sale,289,4,4,65000000
44753128,"Emaar Pearl Towers, Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",Flat,For Sale,300,2,3,93000000
44656210,"Model Colony - Malir, Malir, Karachi, Sindh",Flat,For Sale,139,3,3,14000000
44777993,"Emaar Coral Towers, Emaar Crescent Bay, DHA Phase 8, DHA Defence, Karachi, Sindh",Flat,For Sale,237,3,4,52500000
45066197,"Bahria Town - Precinct 35, Bahria Sports City, Bahria Town Karachi, Karachi, Sindh",House,For Sale,350,4,4,21000000
42163035,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt, Karachi, Sindh",House,For Sale,375,5,5,69500000
45138341,"Gulistan-e-Jauhar - Block 18, Gulistan-e-Jauhar, Karachi, Sindh",Flat,For Sale,78,3,3,4000000
45138803,"University Road, Karachi, Sindh",Flat,For Sale,87,3,3,9000000
45139693,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11, Bahria Town Karachi, Karachi, Sindh",House,For Sale,200,3,3,18500000
45138814,"University Road, Karachi, Sindh",Flat,For Sale,143,3,3,14900000
45138815,"University Road, Karachi, Sindh",Flat,For Sale,143,3,3,14900000
45139707,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",House,For Sale,152,3,3,21500000
45138370,"Gulistan-e-Jauhar - Block 12, Gulistan-e-Jauhar, Karachi, Sindh",Upper Portion,For Sale,160,3,3,13500000
43740196,"Oak Residency, Malir, Karachi, Sindh",House,For Sale,120,3,4,25000000
45138808,"University Road, Karachi, Sindh",Flat,For Sale,87,3,3,9000000
43697031,"Shahra-e-Faisal, Karachi, Sindh",Flat,For Sale,189,3,3,22500000
45139718,"Bahria Homes - Iqbal Villas, Bahria Town - Precinct 2, Bahria Town Karachi, Karachi, Sindh",House,For Sale,152,3,3,21000000
45065987,"Bahria Town - Ali Block, Bahria Town - Precinct 12, Bahria Town Karachi, Karachi, Sindh",House,For Sale,125,3,3,15000000
45139715,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11, Bahria Town Karachi, Karachi, Sindh",House,For Sale,200,3,3,18500000
45139626,"Bahria Apartments, Bahria Town Karachi, Karachi, Sindh",Flat,For Sale,250,3,3,20000000
45065736,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11, Bahria Town Karachi, Karachi, Sindh",House,For Sale,152,3,3,16500000
45138797,"DHA Phase 2, DHA Defence, Karachi, Sindh",House,For Sale,1000,3,3,165000000
