,propertyid,type,address,bedroom,bathroom,area ( Sq. Yd.),purpose,price
380,44835566,House,"Bahria Town Karachi, Karachi, Sindh",3,3,152,For Rent,40000
490,45138820,Flat,"University Road, Karachi, Sindh",3,3,143,For Sale,14900000
196,44407085,Flat,"Gulshan-e-Iqbal Town, Karachi, Sindh",4,4,244,For Rent,62000
240,44541563,Flat,"DHA Defence, Karachi, Sindh",2,2,111,For Rent,60000
17,31239384,House,"Gohar Green City, Karachi, Sindh",2,2,120,For Rent,35000
683,45154963,Upper Portion,"Sharifabad, Liaquatabad, Karachi, Sindh",2,2,140,For Sale,8500000
231,44519870,House,"DHA Defence, Karachi, Sindh",4,4,100,For Rent,160000
210,44464084,House,"Bahria Town Karachi, Karachi, Sindh",4,4,350,For Rent,35000
532,45140696,House,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11, Bahria Town Karachi, Karachi, Sindh",3,3,152,For Sale,17000000
502,45139706,House,"Bahria Town - Precinct 31, Bahria Town Karachi, Karachi, Sindh",3,3,235,For Sale,15500000
665,44561840,House,"DHA Phase 7, DHA Defence, Karachi, Sindh",5,5,300,For Sale,87500000
492,45138807,Flat,"University Road, Karachi, Sindh",3,3,87,For Sale,9000000
247,44559917,House,"North Nazimabad, Karachi, Sindh",5,6,450,For Rent,200000
549,45152186,Upper Portion,"North Nazimabad - Block I, North Nazimabad, Karachi, Sindh",3,3,150,For Sale,14000000
45,41443902,Flat,"Clifton, Karachi, Sindh",3,4,222,For Rent,150000
299,44696103,Upper Portion,"DHA Defence, Karachi, Sindh",3,3,500,For Rent,130000
62,42512092,Flat,"Gulshan-e-Iqbal Town, Karachi, Sindh",2,2,78,For Rent,30000
501,45138466,Flat,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt, Karachi, Sindh",3,3,250,For Sale,45000000
279,44670093,Flat,"Rashid Minhas Road, Karachi, Sindh",3,3,161,For Rent,35000
519,45138811,Flat,"University Road, Karachi, Sindh",3,3,143,For Sale,14900000
140,44001408,Upper Portion,"Gadap Town, Karachi, Sindh",3,3,600,For Rent,75000
496,43935180,Flat,"Saima Jinnah Avenue, Malir, Karachi, Sindh",3,4,250,For Sale,36000000
514,45138813,Flat,"University Road, Karachi, Sindh",3,3,143,For Sale,14900000
127,43890190,Upper Portion,"Gulshan-e-Iqbal Town, Karachi, Sindh",2,2,400,For Rent,40000
202,44429340,Flat,"Frere Town, Karachi, Sindh",3,4,200,For Rent,150000
443,45065725,House,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11, Bahria Town Karachi, Karachi, Sindh",3,3,152,For Sale,16500000
352,44806931,Lower Portion,"DHA Defence, Karachi, Sindh",3,4,500,For Rent,160000
144,44047774,Flat,"Clifton, Karachi, Sindh",2,2,129,For Rent,150000
21,35781536,Flat,"Clifton, Karachi, Sindh",3,4,222,For Rent,130000
504,45138673,Flat,"Bath Island, Karachi, Sindh",4,4,333,For Sale,65000000
662,45152072,Flat,"North Nazimabad - Block K, North Nazimabad, Karachi, Sindh",2,2,133,For Sale,8000000
35,40574548,Upper Portion,"DHA Defence, Karachi, Sindh",3,3,500,For Rent,130000
432,44840854,House,"Bahria Town Karachi, Karachi, Sindh",4,4,350,For Rent,55000
229,44507924,House,"DHA Defence, Karachi, Sindh",4,5,300,For Rent,225000
499,45066202,House,"Bahria Town - Precinct 35, Bahria Sports City, Bahria Town Karachi, Karachi, Sindh",4,4,350,For Sale,21000000
77,43166936,Upper Portion,"Gulshan-e-Iqbal Town, Karachi, Sindh",3,3,120,For Rent,70000
493,45138669,Flat,"Bath Island, Karachi, Sindh",4,4,267,For Sale,82500000
643,44501401,Flat,"Garden West, Karachi, Sindh",4,5,211,For Sale,25000000
109,43702472,Upper Portion,"DHA Defence, Karachi, Sindh",3,4,500,For Rent,160000
715,45152708,House,"Bahria Sports City, Bahria Town Karachi, Karachi, Sindh",4,4,350,For Sale,21500000
101,43635305,Flat,"Bahria Town Karachi, Karachi, Sindh",2,2,106,For Rent,25000
293,44691707,Flat,"DHA Defence, Karachi, Sindh",2,2,113,For Rent,48000
306,44721215,House,"DHA Defence, Karachi, Sindh",6,6,630,For Rent,250000
545,45154946,House,"DHA Phase 7 Extension, DHA Defence, Karachi, Sindh",3,3,100,For Sale,43500000
243,44550856,Flat,"Clifton, Karachi, Sindh",3,3,272,For Rent,150000
494,45139624,Flat,"Bahria Apartments, Bahria Town Karachi, Karachi, Sindh",2,2,106,For Sale,8500000
460,45138341,Flat,"Gulistan-e-Jauhar - Block 18, Gulistan-e-Jauhar, Karachi, Sindh",3,3,78,For Sale,4000000
312,44736561,Upper Portion,"Gulshan-e-Iqbal Town, Karachi, Sindh",1,1,44,For Rent,15000
481,45138671,Flat,"Bath Island, Karachi, Sindh",3,3,222,For Sale,67500000
713,45152764,Flat,"Bahria Apartments, Bahria Town Karachi, Karachi, Sindh",3,3,250,For Sale,19500000
635,45153829,House,"DHA Phase 6, DHA Defence, Karachi, Sindh",5,6,500,For Sale,95000000
524,45138805,Flat,"University Road, Karachi, Sindh",3,3,87,For Sale,9000000
165,44201147,House,"DHA Defence, Karachi, Sindh",6,6,500,For Rent,400000
356,44811808,Flat,"Bahria Town Karachi, Karachi, Sindh",3,3,250,For Rent,48000
392,44837178,Flat,"Gadap Town, Karachi, Sindh",2,2,83,For Rent,18500
34,40482491,Upper Portion,"DHA Defence, Karachi, Sindh",4,4,600,For Rent,150000
526,45139709,House,"Bahria Town - Precinct 11-A, Bahria Town - Precinct 11, Bahria Town Karachi, Karachi, Sindh",3,3,152,For Sale,18000000
303,44706307,House,"DHA Defence, Karachi, Sindh",5,6,500,For Rent,375000
719,40848414,House,"DHA Phase 7, DHA Defence, Karachi, Sindh",5,6,500,For Sale,105000000
319,44747020,House,"Cantt, Karachi, Sindh",5,6,375,For Rent,150000
698,45152806,House,"Bahria Town - Precinct 31, Bahria Town Karachi, Karachi, Sindh",3,3,235,For Sale,15600000
714,45152748,Flat,"Bahria Apartments, Bahria Town Karachi, Karachi, Sindh",2,2,106,For Sale,8500000
155,44170062,House,"Cantt, Karachi, Sindh",5,5,375,For Rent,140000
331,44769427,House,"Cantt, Karachi, Sindh",0,0,267,For Rent,65000
