,propertyid,location,bedroom,bathroom,area ( Sq. Yd.),price,Flat,House,Lower Portion,Room,Upper Portion,For Purchase,For Rent,For Sale,address
0,17106827,"Frere Town, Karachi, Sindh",3,4,222,110000,True,False,False,False,False,False,True,False,224
1,19843520,"Civil Lines, Karachi, Sindh",2,2,167,75000,True,False,False,False,False,False,True,False,158
2,20039912,"Navy Housing Scheme Karsaz, Karachi, Sindh",5,7,467,225000,True,False,False,False,False,False,True,False,308
3,20410232,"Navy Housing Scheme Zamzama, Zamzama, Karachi, Sindh",4,4,350,500000,False,True,False,False,False,False,True,False,309
4,20483503,"Navy Housing Scheme Karsaz, Karachi, Sindh",5,5,350,260000,False,True,False,False,False,False,True,False,308
5,20483534,"Navy Housing Scheme Karsaz, Karachi, Sindh",5,5,350,255000,False,True,False,False,False,False,True,False,308
6,21441862,"Tricon Tower, Bath Island, Karachi, Sindh",3,4,256,150000,True,False,False,False,False,False,True,False,387
7,21551880,"Bath Island, Karachi, Sindh",4,5,300,160000,True,False,False,False,False,False,True,False,134
8,21586854,"Clifton, Karachi, Sindh",4,5,300,200000,True,False,False,False,False,False,True,False,168
9,23119126,"Clifton - Block 2, Clifton, Karachi, Sindh",3,4,256,150000,True,False,False,False,False,False,True,False,160
10,23687145,"Clifton - Block 4, Clifton, Karachi, Sindh",5,5,330,350000,False,True,False,False,False,False,True,False,162
11,24749065,"Clifton, Karachi, Sindh",4,5,289,185000,True,False,False,False,False,False,True,False,168
12,25250854,"Tricon Tower, Bath Island, Karachi, Sindh",3,4,244,150000,True,False,False,False,False,False,True,False,387
13,26021470,"Clifton, Karachi, Sindh",4,4,278,160000,True,False,False,False,False,False,True,False,168
14,28668627,"KN Gohar Green City, Shahra-e-Faisal, Karachi, Sindh",3,3,120,47000,False,True,False,False,False,False,True,False,286
15,29210681,"Falcon Complex New Malir, Malir, Karachi, Sindh",4,5,350,140000,False,True,False,False,False,False,True,False,208
16,30657070,"Clifton, Karachi, Sindh",4,5,400,220000,True,False,False,False,False,False,True,False,168
17,31239384,"Gohar Green City, Karachi, Sindh",2,2,120,35000,False,True,False,False,False,False,True,False,234
18,31450255,"Khaliq-uz-Zaman Road, Karachi, Sindh",3,3,244,125000,True,False,False,False,False,False,True,False,288
19,34013868,"Old Clifton, Karachi, Sindh",3,5,311,270000,True,False,False,False,False,False,True,False,326
20,34074312,"Saima Presidency, Malir Cantonment, Cantt, Karachi, Sindh",3,3,178,62000,True,False,False,False,False,False,True,False,365
21,35781536,"Clifton, Karachi, Sindh",3,4,222,130000,True,False,False,False,False,False,True,False,168
22,37196582,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt, Karachi, Sindh",5,5,375,150000,False,True,False,False,False,False,True,False,112
23,37851829,"Navy Housing Scheme Zamzama, Zamzama, Karachi, Sindh",5,5,1600,1500000,False,True,False,False,False,False,True,False,309
