propertyid,location,type,address,bedroom,bathroom,area ( Sq. Yd.),purpose,price,description,mobile,image-src
17106827,"Frere Town, Karachi, Sindh",Flat,"Frere Town, Karachi, Sindh",3,4,222,For Rent,110000,"3 Bed Super Luxurious Apartments With Attached Baths With Imported Fixtures And Fittings, Drawing Dining Room, Lounge Area And Maid Room. It's 2000 Sqft Having Italian Kitchen, Balcony, Car Parking, Play Area, Gym, Garden, Reception Area, 24/7 Water, Electricity & Gas Available, Security & Cctv Surveillance.",3363793619,https://media.zameen.com/thumbnails/205040076-800x600.jpeg
19843520,"Civil Lines, Karachi, Sindh",Flat,"Civil Lines, Karachi, Sindh",2,2,167,For Rent,75000,"This apartment is located in Civil lines in the Project known as Royal Residency. It has 3 bed drawing, dining, including one reserved car parking. 24 7 water is available. Fully secured and family project with Gym and all other Modern Amenities.",3412372453,https://media.zameen.com/thumbnails/213165771-800x600.jpeg
20039912,"Navy Housing Scheme Karsaz, Karachi, Sindh",Flat,"Navy Housing Scheme Karsaz, Karachi, Sindh",5,7,467,For Rent,225000,"-LIMITED Time Chance Deal. 
-West Open,open view & Golf facing all available with slight price difference


4200 Sq. ft Gross Area Net Area 3600 Sq. ft. (Biggest and best of it's Kind Apt in Karachi
Bungalow Style TV lounge. 
Huge Hall. 
Servant Quarter With Separate Entrance. 
Standby Generator. 
Basement Parking. 
Good Location. 

Location Navy Housing Scheme Karsaz. 
With all Amenities School, College, Swimming Pool, Hospital, Utility Convenience Stores & Restaurants All Available In Premises. 
Having 4 BIG size Bed Rooms & 1 Guest room all with attached Bath. 
Contact us for more details.",3123209192,https://media.zameen.com/thumbnails/205853623-800x600.jpeg
20410232,"Navy Housing Scheme Zamzama, Zamzama, Karachi, Sindh",House,"Zamzama, Karachi, Sindh",4,4,350,For Rent,500000,"Fully Renovated House Is Available For Rent
prime Location
d D
lounge
kitchen
baths
please Feel Free To Call Us If You Need Further Details About It. We Request That Only Serious Individuals Contact Us To Make An Immediate Deal, And Please Do Not Forget To Mention Zameen. com When Calling.",3332156348,https://media.zameen.com/thumbnails/213136827-800x600.jpeg
20483503,"Navy Housing Scheme Karsaz, Karachi, Sindh",House,"Navy Housing Scheme Karsaz, Karachi, Sindh",5,5,350,For Rent,260000,"350sq yards house located in NHS Karsaz
5 Bed with Attached Bathroom
Study Room
D D Lounge Kitchen. 
Military Grade Security. 
One of the best places to live in Karachi.",3332156348,https://media.zameen.com/thumbnails/213136657-800x600.jpeg
20483534,"Navy Housing Scheme Karsaz, Karachi, Sindh",House,"Navy Housing Scheme Karsaz, Karachi, Sindh",5,5,350,For Rent,255000,"350Sq Yards House located in NHS Karsaz
5 Bed with attached bath
1 Study Room
Military Grade Security
D D Lounge Kitchen. 
One of the best places to live in Karachi.",3332156348,https://media.zameen.com/thumbnails/213136660-800x600.jpeg
21441862,"Tricon Tower, Bath Island, Karachi, Sindh",Flat,"Bath Island, Karachi, Sindh",3,4,256,For Rent,150000,"One Of The Most Peaceful Locality Of Karachi
Tricon Tower (bath Island)
Description 
Each Flat Is A 3 Sided Corner Flat For Throughout Air Ventilation. 
Ready To Move In 

We Want Only Serious Buyers To Contact Us. 
Do Not Forget To Mention Zameen. Com While Calling.",3363793619,https://media.zameen.com/thumbnails/205039801-800x600.jpeg
21551880,"Bath Island, Karachi, Sindh",Flat,"Bath Island, Karachi, Sindh",4,5,300,For Rent,160000,"Apartment For Rent Available In Bath Island Tricon Garden 
One of the most peaceful locality of KARACHI
Tricon Garden (BATH ISLAND)
Description 
Available at reasonable Demand. 
The Flat here is constructed with the best materials and comes with a reasonable price. Luxurious property is available to rent for your family. Property is hard to find but 2700 Square Feet property is readily available in different locations. A property valued at Rs. 160,000 at a prime location is something you should grab before someone else. Bath Island is surrounded with all kinds of facilities, so hurry up and book your property today. You can find affordable housing options in Bath Island. 

These features below will convince you why this property is right for you. 
The Flat comes with a laundry facility that you can use to your benefit. 
You can use the powder room of the property as an additional bathroom. 
The security staff will be available round the clock to ensure that residents can lead a peaceful life. 
You can run your business conveniently with high-speed broadband internet access that comes with this commercial centre. 
The drawing opens into a spacious dining room, making it convenient to entertain guests. 
The lobby and reception in the apartment building contributes to the resident's security. 
From the wall carvings to the ornate fixtures, the luxurious drawing room will leave your guests in awe. 


You can have all your doubts cleared by giving us a call.",3363793619,https://media.zameen.com/thumbnails/205040177-800x600.jpeg
21586854,"Clifton, Karachi, Sindh",Flat,"Clifton, Karachi, Sindh",4,5,300,For Rent,200000,"4 Bed Super Luxurious Apartments With Attached Baths With Imported Fixtures And Fittings, Drawing Dining Room, Lounge Area And Maid Room. It's 2700 Sq ft Having Italian Kitchen, Balcony, Car Parking, Play Area, Gym, Garden, Reception Area, 24 7 Water, Electricity & Gas Available, Security & Cctv Surveillance. 
Good location
Reasonable price
Call us for more details.",3363793619,https://media.zameen.com/thumbnails/205040031-800x600.jpeg
23119126,"Clifton - Block 2, Clifton, Karachi, Sindh",Flat,"Clifton, Karachi, Sindh",3,4,256,For Rent,150000,"Luxurious apartment for Rent
Located in Clifton - Block 2
A beautiful design and solid building
Brand New
COM 3
Having 3 bed room attach bath
Drawing dining lounge
Lift generator parking
All modern facilities
Most prime location. 
Please feel free to call if you need further details about it. I request that only serious individuals contact me to make an immediate deal, and please do not forget to mention Zameen. com when calling.",3363793619,https://media.zameen.com/thumbnails/205040079-800x600.jpeg
